id,title,genres,popularity,release_date,budget,revenue,vote_average
1850,Man on the Moon,Comedy-Drama-History,13.45,1999/12/22,82000000,47434430,7.3
18882,Man-Thing,Action-Fantasy-Horror,9.503,2005/4/21,5000000,1123136,4.3
41759,Man's Best Friend,Horror-Science Fiction-Thriller-Comedy,6.246,1993/11/19,6000000,12974636,5.5
334541,Manchester by the Sea,Drama,15.944,2016/11/18,9000000,78988148,7.5
192136,Mandela: Long Walk to Freedom,Drama-History,8.659,2013/11/28,35000000,27333835,6.9
1951,Manderlay,Drama,10.214,2005/5/16,14200000,674918,6.9
460885,Mandy,Horror-Action-Thriller-Fantasy,18.281,2018/9/13,6000000,1214525,6.2
20496,Mangal Pandey - The Rising,Drama,3.577,2005/8/12,70000000,7250000,5.8
254905,Manglehorn,Drama,6.502,2015/6/3,4000000,143101,5.4
10440,Manhattan Murder Mystery,Comedy-Mystery,9.19,1993/5/2,13500000,11285588,7.3
792049,mania,Animation-Drama,0.6,2020/10/23,1,1,10
103620,Maniac,Horror,10.118,2012/12/26,6000000,31081,6
452394,Manje Bistre,Comedy-Drama,1.442,2017/4/14,1092000,7800000,6.3
614560,Mank,Drama-History,14.168,2020/11/13,25000000,122252,6.8
76788,Mankatha,Action-Thriller,5.188,2011/8/31,6100000,28000000,6.6
34376,Mannequin Two: On the Move,Fantasy-Comedy-Science Fiction-Romance,8.904,1991/5/17,13000000,3752426,5.9
88224,Manny & Lo,Drama-Comedy,4.791,1996/1/22,500000,431326,5.9
46404,Manorama Six Feet Under,Thriller-Crime-Mystery-Drama,3.019,2007/9/21,4000000,4500000,6.5
538278,Manticore,Thriller,0.6,2011/2/11,6000000,1756511,1
65931,Manuelita,Animation-Family-Comedy-Adventure,4.606,1999/7/8,5000000,9100000,6.6
33870,Mao's Last Dancer,Drama-Romance,8.597,2009/10/1,25000000,23914731,6.7
157851,Maps to the Stars,Drama,8.392,2014/5/21,15000000,1338365,6.1
514277,Mara,Crime-Horror-Thriller,20.372,2018/8/22,5000000,470901,5.7
1667,March of the Penguins,Documentary-Family,11.407,2005/1/26,3300000,127392239,7
495778,Marche avec moi,Comedy-Drama,0.6,2015/1/10,10000,300,8
32316,Marci X,Comedy,6.963,2003/8/22,20000000,1675706,3.6
351428,Marco Rima - Made in Hellwitzia,Comedy,0.6,2015/7/25,20,20,0
287767,Mardaani,Action-Crime-Drama-Thriller,5.67,2014/8/22,2121476,7557761,6.6
591101,Mardaani 2,Action-Crime-Thriller,3.709,2019/12/12,2800000,8680109,7.3
44754,Margaret,Drama,8.081,2011/9/30,14000000,46495,6.3
287499,Margarita with a Straw,Drama,5.654,2015/4/17,900000,1000000,7
50839,Margin Call,Thriller-Drama,13.811,2011/2/11,3500000,19504039,6.8
549003,Marham,Drama,0.6,2010/2/1,10000,10000,7
436,Maria Full of Grace,Drama-Thriller-Crime,8.231,2004/1/18,3000000,12450821,7.3
951838,Mariana Cooks Pasta,Documentary-Comedy,0.6,2022/3/20,5,6,8
1887,Marie Antoinette,Drama-History,14.525,2006/5/24,40000000,60917189,6.6
10173,Marked for Death,Action-Crime,13.559,1990/10/5,12000000,46044400,5.9
14306,Marley & Me,Comedy-Family,55.354,2008/12/25,60000000,242717113,7.2
38579,Marmaduke,Family-Comedy,47.137,2010/6/4,50000000,83761844,5.3
895243,Maroon 5 - Live In Bowery Ballroom,Music,0.6,2014/6/20,100,100,9
492188,Marriage Story,Drama,21.47,2019/9/28,18000000,2300000,7.8
63369,Marriage with a Liar,Romance,3.9,2010/12/23,283096,1029455,5.3
32083,Married to It,Comedy-Romance,2.552,1991/9/11,14000000,2059832,6
399366,Marrowbone,Thriller-Horror-Drama-Mystery,15.274,2017/10/27,8000000,12294931,7.2
615904,Marry Me,Romance-Comedy-Music,243.403,2022/2/9,23000000,44000000,6.9
100152,Mars,Comedy-Drama,0.84,2004/11/11,2000000,240000,5.7
75,Mars Attacks!,Comedy-Fantasy-Science Fiction,22.284,1996/12/12,70000000,101371017,6.4
50321,Mars Needs Moms,Adventure-Animation-Family,27.391,2011/3/9,150000000,38992758,6
410928,Mars: Pioneering the Planet,Documentary,0.882,2003/8/10,1000000,2000000,8
392982,Marshall,Drama,11.063,2017/10/13,12000000,10051659,7.3
236735,Marshland,Thriller,8.685,2014/9/25,4000000,5169755,7
843214,Martian,Action-Science Fiction,0.6,2018/6/7,2,4,0
5126,Martian Child,Drama-Comedy,10.32,2007/11/2,27000000,9411042,6.6
582873,Martin Eden,Romance-Drama,8.283,2019/9/4,3800000,1681545,7
20337,Martin Lawrence Live: Runteldat,Comedy,4.548,2002/8/1,3000000,19184015,5
9539,Martyrs,Horror-Drama-Thriller,35.648,2008/9/3,6500000,1100000,7.4
9819,Marvin's Room,Drama,10.662,1996/12/18,23000000,12803305,6.7
